cast,listed_in,count
 Jr.,Comedies,1
 Jr.,TV Dramas,1
"""Riley"" Lakdhar Dridi","Comedies, Dramas, International Movies",1
'Najite Dede,"Comedies, International Movies, Romantic Movies",1
'Najite Dede,"International TV Shows, TV Comedies",1
2 Chainz,Docuseries,1
2Mex,"Documentaries, Music & Musicals",1
4Minute,"International Movies, Music & Musicals",1
50 Cent,Action & Adventure,3
50 Cent,"Dramas, Thrillers",2
9m88,"Dramas, Independent Movies, International Movies",1
A Boogie Wit tha Hoodie,Docuseries,1
A. Murat Özgen,"Horror Movies, International Movies",1
A.C. Peterson,Dramas,1
A.D. Miles,TV Comedies,3
A.J. Cook,"Crime TV Shows, TV Dramas, TV Mysteries",1
A.J. Cook,"Horror Movies, Thrillers",1
A.J. Johnson,"Comedies, Cult Movies",1
A.J. LoCascio,"Children & Family Movies, Comedies",1
A.J. LoCascio,Kids' TV,2
A.K. Hangal,"Action & Adventure, Dramas, International Movies",1
A.K. Hangal,"Classic Movies, Comedies, Dramas",1
A.K. Hangal,"Comedies, International Movies, Music & Musicals",1
A.K. Hangal,"Dramas, Independent Movies, International Movies",1
A.R. Rahman,"Documentaries, International Movies, Music & Musicals",1
A.S. Sasi Kumar,"Dramas, Independent Movies, International Movies",1
AC Lim,Children & Family Movies,1
AFRA,"Anime Series, International TV Shows, TV Horror",1
AJ Bowen,"Dramas, Independent Movies, LGBTQ Movies",1
AJ Michalka,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",1
AJ Rivera,"British TV Shows, International TV Shows, TV Action & Adventure",1
ARAH,"Documentaries, International Movies, Music & Musicals",2
Aabhas Yadav,"Children & Family Movies, Dramas, Music & Musicals",1
Aachal Munjal,"Dramas, International Movies",1
Aadarsh Balakrishna,"Dramas, Independent Movies, International Movies",1
Aadarsh Balakrishna,"Dramas, International Movies, Thrillers",1
Aadhi,"Dramas, International Movies, Romantic Movies",1
Aadhya Anand,"International TV Shows, TV Dramas",1
Aadil Khan,"Dramas, International Movies, Romantic Movies",1
Aaditi Pohankar,"Comedies, Dramas, International Movies",1
Aaditi Pohankar,"Crime TV Shows, International TV Shows, TV Dramas",1
Aaditya Pratap Singh,"Dramas, Independent Movies, International Movies",1
Aadukalam Naren,"Dramas, Independent Movies, International Movies",1
Aadya Bedi,"Dramas, Independent Movies, International Movies",1
Aahana Kumra,"Crime TV Shows, International TV Shows, TV Action & Adventure",1
Aahana Kumra,"International TV Shows, TV Action & Adventure, TV Horror",1
Aakarshan Singh,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1
Aakash Dabhade,"Action & Adventure, Comedies, Dramas",1
Aakash Dabhade,"Comedies, International Movies, Sports Movies",1
Aakash Dabhade,"Dramas, Independent Movies, International Movies",1
Aakash Dabhade,"Dramas, International Movies, Thrillers",1
Aakash Dahiya,"Comedies, Dramas, International Movies",1
Aakash Pandey,"Dramas, Independent Movies, International Movies",1
Aakshath Das,"Comedies, Dramas, International Movies",1
Aamina Sheikh,"Comedies, Dramas, International Movies",1
Aamir Ahmed,"Dramas, International Movies, Music & Musicals",1
Aamir Bashir,"Action & Adventure, Dramas, International Movies",1
Aamir Bashir,"Comedies, Dramas, Independent Movies",1
Aamir Bashir,"Comedies, International Movies, Romantic Movies",1
Aamir Bashir,"Dramas, Independent Movies, International Movies",1
Aamir Bashir,"Dramas, International Movies, Thrillers",1
Aamir Khan,"Action & Adventure, Comedies, Cult Movies",1
Aamir Khan,"Comedies, Dramas, International Movies",5
Aamir Khan,"Documentaries, International Movies",1
Aamir Khan,"Dramas, International Movies",3
Aamir Khan,"Dramas, International Movies, Music & Musicals",2
Aamir Khan,"Dramas, International Movies, Romantic Movies",2
Aamir Khan,"Dramas, International Movies, Sports Movies",1
Aamir Khan,"Dramas, International Movies, Thrillers",1
Aamir Qureshi,"Comedies, International Movies, Music & Musicals",1
