release_year,listed_in,cast,count
1942,"Classic Movies, Documentaries",Henry Fonda,1
1942,"Classic Movies, Documentaries",Jane Darwell,1
1944,"Classic Movies, Documentaries",Burgess Meredith,1
1945,"Classic Movies, Documentaries",Dana Andrews,1
1945,"Classic Movies, Documentaries",Walter Huston,1
1946,"Classic Movies, Documentaries",Walter Huston,1
1947,"Classic Movies, Documentaries",James Stewart,1
1947,"Classic Movies, Documentaries",Lloyd Bridges,1
1954,"Children & Family Movies, Classic Movies, Comedies",Anne Whitfield,1
1954,"Children & Family Movies, Classic Movies, Comedies",Bing Crosby,1
1954,"Children & Family Movies, Classic Movies, Comedies",Danny Kaye,1
1954,"Children & Family Movies, Classic Movies, Comedies",Dean Jagger,1
1954,"Children & Family Movies, Classic Movies, Comedies",George Chakiris,1
1954,"Children & Family Movies, Classic Movies, Comedies",John Brascia,1
1954,"Children & Family Movies, Classic Movies, Comedies",Mary Wickes,1
1954,"Children & Family Movies, Classic Movies, Comedies",Rosemary Clooney,1
1954,"Children & Family Movies, Classic Movies, Comedies",Vera-Ellen,1
1954,"Classic Movies, Dramas, International Movies",Abdel-Wareth Asar,1
1954,"Classic Movies, Dramas, International Movies",Abdelghany Kamar,1
1954,"Classic Movies, Dramas, International Movies",Farid Shawqy,1
1954,"Classic Movies, Dramas, International Movies",Faten Hamama,1
1954,"Classic Movies, Dramas, International Movies",Hamdy Gheith,1
1954,"Classic Movies, Dramas, International Movies",Menassa Fahmy,1
1954,"Classic Movies, Dramas, International Movies",Mohsen Hassanein,1
1954,"Classic Movies, Dramas, International Movies",Omar Sharif,1
1954,"Classic Movies, Dramas, International Movies",Rafeaa El Shal,1
1954,"Classic Movies, Dramas, International Movies",Zaki Rostom,1
1955,"Classic Movies, Comedies, Independent Movies",Alberto Sordi,1
1955,"Classic Movies, Comedies, Independent Movies",Antonio Cifariello,1
1955,"Classic Movies, Comedies, Independent Movies",Clara Crispo,1
1955,"Classic Movies, Comedies, Independent Movies",Eloisa Cianni,1
1955,"Classic Movies, Comedies, Independent Movies",Franca Valeri,1
1955,"Classic Movies, Comedies, Independent Movies",Franco Fantasia,1
1955,"Classic Movies, Comedies, Independent Movies",Lea Padovani,1
1955,"Classic Movies, Comedies, Independent Movies",Leopoldo Trieste,1
1955,"Classic Movies, Comedies, Independent Movies",Lina Gennari,1
1955,"Classic Movies, Comedies, Independent Movies",Mario Carotenuto,1
1955,"Classic Movies, Comedies, Independent Movies",Maurizio Arena,1
1955,"Classic Movies, Comedies, Independent Movies",Pasquale Misiano,1
1955,"Classic Movies, Comedies, Independent Movies",Peppino De Filippo,1
1955,"Classic Movies, Comedies, Independent Movies",Raf Vallone,1
1955,"Classic Movies, Comedies, Independent Movies",Sophia Loren,2
1955,"Classic Movies, Comedies, Independent Movies",Tina Pica,2
1955,"Classic Movies, Comedies, Independent Movies",Virgilio Riento,2
1955,"Classic Movies, Comedies, Independent Movies",Vittorio De Sica,2
1955,"Classic Movies, Comedies, Independent Movies",Yoka Berretty,1
1955,"Classic Movies, Dramas",Ann Doran,1
1955,"Classic Movies, Dramas",Corey Allen,1
1955,"Classic Movies, Dramas",Dennis Hopper,1
1955,"Classic Movies, Dramas",Edward Platt,1
1955,"Classic Movies, Dramas",James Dean,1
1955,"Classic Movies, Dramas",Jim Backus,1
1955,"Classic Movies, Dramas",Natalie Wood,1
1955,"Classic Movies, Dramas",Rochelle Hudson,1
1955,"Classic Movies, Dramas",Sal Mineo,1
1955,"Classic Movies, Dramas",William Hopper,1
1956,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",Anne Francis,1
1956,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",Earl Holliman,1
1956,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",Jack Kelly,1
